state,x,y
Andhra Pradesh,-86,-204
Arunachal Pradesh,271,128
Assam,235,77
Bihar,79,64
Chhattisgarh,-13,-49
Goa,-191,-193
Gujarat,-254,-7
Haryana,-144,146
Himachal Pradesh,-113,225
Jammu and Kashmir,-145,291
Jharkhand,64,7
Karnataka,-164,-208
Kerala,-139,-312
Madhya Pradesh,-103,-5
Maharashtra,-181,-100
Manipur,264,34
Meghalaya,195,51
Mizoram,237,-10
Nagaland,281,67
Odisha,43,-65
Punjab,-158,191
Rajasthan,-221,90
Sikkim,137,115
Tamil Nadu,-97,-302
Telangana,-86,-137
Tripura,207,5
Uttar Pradesh,-56,100
Uttarakhand,-78,185
West Bengal,122,-7
